年份,国家,灾害类型,灾害子类型,区域,灾害频次,总死亡人数,总受灾人数,总经济损失(千美元)
1994,中国,气候灾害,洪涝,中国,1,95,0,161000.0
1995,中国,气候灾害,洪涝,中国,1,1437,114470249,6720000.0
1995,中国,气候灾害,洪涝,中国,1,61,11100162,0.0
1995,中国,气候灾害,洪涝,中国,1,120,1000000,0.0
1996,中国,气候灾害,洪涝,中国,1,2775,154634000,12600000.0
1996,中国,气候灾害,洪涝,中国,1,96,40000,0.0
1996,中国,气候灾害,洪涝,中国,1,1200,0,6314500.0
1996,中国,气候灾害,洪涝,中国,1,20,0,0.0
1997,中国,气候灾害,洪涝,中国,1,103,371229,160000.0
1997,中国,气候灾害,洪涝,中国,1,164,7000000,0.0
1997,中国,气候灾害,洪涝,中国,1,300,318000,1027400.0
1997,中国,气候灾害,洪涝,中国,1,63,0,0.0
1997,中国,气候灾害,洪涝,中国,1,420,0,1251200.0
1997,中国,气候灾害,洪涝,中国,1,40,0,1000.0
1998,中国,气候灾害,洪涝,中国,1,3656,238973000,30000000.0
1998,中国,气候灾害,洪涝,中国,1,15,1300,34700.0
1998,中国,气候灾害,洪涝,中国,1,50,80000,20124.0
1998,中国,气候灾害,洪涝,中国,1,440,1500000,724700.0
1998,中国,气候灾害,洪涝,中国,1,89,2160000,964000.0
1999,中国,气候灾害,洪涝,中国,1,35,3000,0.0
1999,中国,气候灾害,洪涝,中国,1,725,101024000,8100000.0
1999,中国,气候灾害,洪涝,中国,1,153,5165000,647000.0
1999,中国,气候灾害,洪涝,中国,1,30,0,302000.0
1999,中国,气候灾害,洪涝,中国,1,199,1000000,181200.0
1999,中国,气候灾害,洪涝,中国,1,43,5000,24200.0
2000,中国,气候灾害,洪涝,中国,1,15,40000,12000.0
2000,中国,气候灾害,洪涝,中国,1,34,154183,22000.0
2000,中国,气候灾害,洪涝,中国,1,4,15000,0.0
2000,中国,气候灾害,洪涝,中国,1,43,31010,19000.0
2000,中国,气候灾害,洪涝,中国,1,33,300000,60000.0
2000,中国,气候灾害,洪涝,中国,1,54,0,0.0
2000,中国,气候灾害,洪涝,中国,1,203,18214,172000.0
2000,中国,气候灾害,洪涝,中国,1,10,200000,25366.0
2000,中国,气候灾害,洪涝,中国,1,26,4500,5000.0
2001,中国,气候灾害,洪涝,中国,1,29,1760000,78000.0
2001,中国,气候灾害,洪涝,中国,1,11,30003,24000.0
2001,中国,气候灾害,洪涝,中国,1,22,7,0.0
2001,中国,气候灾害,洪涝,中国,1,35,2702,17000.0
2001,中国,气候灾害,洪涝,中国,1,46,17,5000.0
2001,中国,气候灾害,洪涝,中国,1,27,250000,300000.0
2001,中国,气候灾害,洪涝,中国,1,0,4000,0.0
2001,中国,气候灾害,洪涝,中国,1,66,3110,167000.0
2001,中国,气候灾害,洪涝,中国,1,166,300000,120000.0
2002,中国,气候灾害,洪涝,中国,1,0,561800,53000.0
2002,中国,气候灾害,洪涝,中国,1,0,20000000,943000.0
2002,中国,气候灾害,洪涝,中国,1,22,7001,50000.0
2002,中国,气候灾害,洪涝,中国,1,793,80035257,3100000.0
2002,中国,气候灾害,洪涝,中国,1,11,12312,38600.0
2002,中国,气候灾害,洪涝,中国,1,61,15,0.0
2002,中国,气候灾害,洪涝,中国,1,165,6340000,540000.0
2002,中国,气候灾害,洪涝,中国,1,178,999311,4200.0
2002,中国,气候灾害,洪涝,中国,1,16,5250000,0.0
2002,中国,气候灾害,洪涝,中国,1,0,50000,0.0
2003,中国,气候灾害,洪涝,中国,1,38,4370986,160000.0
2003,中国,气候灾害,洪涝,中国,1,28,0,0.0
2003,中国,气候灾害,洪涝,中国,1,430,150146000,7890000.0
2003,中国,气候灾害,洪涝,中国,1,30,1200000,4830000.0
2003,中国,气候灾害,洪涝,中国,1,123,200000,2440000.0
2003,中国,气候灾害,洪涝,中国,1,13,8000,9640.0
2004,中国,气候灾害,洪涝,中国,1,18,0,0.0
2004,中国,气候灾害,洪涝,中国,1,47,168500,361000.0
2004,中国,气候灾害,洪涝,中国,1,5,90000,0.0
2004,中国,气候灾害,洪涝,中国,1,0,556073,0.0
2004,中国,气候灾害,洪涝,中国,1,3,740,0.0
2004,中国,气候灾害,洪涝,中国,1,15,0,0.0
2004,中国,气候灾害,洪涝,中国,1,7,0,53500.0
2004,中国,气候灾害,洪涝,中国,1,133,33652026,1100000.0
2004,中国,气候灾害,洪涝,中国,1,222,8253000,471000.0
2005,中国,气候灾害,洪涝,中国,1,117,425,45000.0
2005,中国,气候灾害,洪涝,中国,1,58,11230230,607000.0
2005,中国,气候灾害,洪涝,中国,1,235,16700000,2160000.0
2005,中国,气候灾害,洪涝,中国,1,28,14500,0.0
2005,中国,气候灾害,洪涝,中国,1,52,188046,913000.0
2005,中国,气候灾害,洪涝,中国,1,16,23,560.0
2005,中国,气候灾害,洪涝,中国,1,20,4610000,239000.0
2005,中国,气候灾害,洪涝,中国,1,20,80000,240000.0
2005,中国,气候灾害,洪涝,中国,1,8,8842,4600.0
2005,中国,气候灾害,洪涝,中国,1,19,650000,180700.0
2005,中国,气候灾害,洪涝,中国,1,5,1270000,271000.0
2006,中国,气候灾害,洪涝,中国,1,21,10461,333000.0
2006,中国,气候灾害,洪涝,中国,1,22,36900,36000.0
2006,中国,气候灾害,洪涝,中国,1,57,356000,393000.0
2006,中国,气候灾害,洪涝,中国,1,3,350035,0.0
2006,中国,气候灾害,洪涝,中国,1,2,1410000,0.0
2006,中国,气候灾害,洪涝,中国,1,50,12000,141000.0
2006,中国,气候灾害,洪涝,中国,1,21,4600024,0.0
2006,中国,气候灾害,洪涝,中国,1,23,5000,0.0
2006,中国,气候灾害,洪涝,中国,1,30,4120000,679000.0
2006,中国,气候灾害,洪涝,中国,1,42,10009,11000.0
2006,中国,气候灾害,洪涝,中国,1,6,270000,6500.0
2006,中国,气候灾害,洪涝,中国,1,29,2375016,0.0
2006,中国,气候灾害,洪涝,中国,1,0,4000,0.0
2006,中国,气候灾害,洪涝,中国,1,10,1400000,31000.0
2006,中国,气候灾害,洪涝,中国,1,20,2400,0.0
2006,中国,气候灾害,洪涝,中国,1,35,0,0.0
2006,中国,气候灾害,洪涝,中国,1,1,1200,0.0
2006,中国,气候灾害,洪涝,中国,1,15,0,0.0
2006,中国,气候灾害,洪涝,中国,1,27,20004,0.0
2006,中国,气候灾害,洪涝,中国,1,16,7000,57000.0
2007,中国,气候灾害,洪涝,中国,1,0,250000,13000.0
2007,中国,气候灾害,洪涝,中国,1,43,2300050,78000.0
2007,中国,气候灾害,洪涝,中国,1,535,105004000,4425655.0
2007,中国,气候灾害,洪涝,中国,1,9,0,0.0
2007,中国,气候灾害,洪涝,中国,1,170,386000,40000.0
2007,中国,气候灾害,洪涝,中国,1,83,112742,329000.0
2007,中国,气候灾害,洪涝,中国,1,29,350000,80000.0
2007,中国,气候灾害,洪涝,中国,1,96,30000,0.0
2007,中国,气候灾害,洪涝,中国,1,11,17500,26000.0
2007,中国,气候灾害,洪涝,中国,1,17,213000,5500.0
2007,中国,气候灾害,洪涝,中国,1,26,2430000,0.0
2007,中国,气候灾害,洪涝,中国,1,11,17500,26000.0
2008,中国,气候灾害,洪涝,中国,1,64,538166,0.0
2008,中国,气候灾害,洪涝,中国,1,176,1600000,2200000.0
2008,中国,气候灾害,洪涝,中国,1,3,780000,19000.0
2008,中国,气候灾害,洪涝,中国,1,20,810000,42000.0
2008,中国,气候灾害,洪涝,中国,1,67,411000,29000.0
2008,中国,气候灾害,洪涝,中国,1,3,50000,0.0
2008,中国,气候灾害,洪涝,中国,1,19,3000000,102000.0
2009,中国,气候灾害,洪涝,中国,1,49,5630000,0.0
2009,中国,气候灾害,洪涝,中国,1,11,0,0.0
2009,中国,气候灾害,洪涝,中国,1,11,106000,59000.0
2009,中国,气候灾害,洪涝,中国,1,90,39372000,1000000.0
2009,中国,气候灾害,洪涝,中国,1,12,118000,0.0
2009,中国,气候灾害,洪涝,中国,1,20,38,33000.0
2009,中国,气候灾害,洪涝,中国,1,16,0,281000.0
2010,中国,气候灾害,洪涝,中国,1,1691,134000000,18000000.0
2010,中国,气候灾害,洪涝,中国,1,152,6000000,0.0
2010,中国,气候灾害,洪涝,中国,1,59,0,0.0
2010,中国,气候灾害,洪涝,中国,1,5,64000,0.0
2010,中国,气候灾害,洪涝,中国,1,4,130000,171000.0
2011,中国,气候灾害,洪涝,中国,1,16,60000,0.0
2011,中国,气候灾害,洪涝,中国,1,6,1600000,54130.0
2011,中国,气候灾害,洪涝,中国,1,467,67900000,6400000.0
2011,中国,气候灾害,洪涝,中国,1,117,20000000,4250000.0
2011,中国,气候灾害,洪涝,中国,1,22,3800000,0.0
2012,中国,气候灾害,洪涝,中国,1,53,185000,316333.0
2012,中国,气候灾害,洪涝,中国,1,91,17440000,1200000.0
2012,中国,气候灾害,洪涝,中国,1,132,13119000,2500000.0
2012,中国,气候灾害,洪涝,中国,1,0,220000,0.0
2012,中国,气候灾害,洪涝,中国,1,0,53000,0.0
2012,中国,气候灾害,洪涝,中国,1,151,1000000,8000000.0
2012,中国,气候灾害,洪涝,中国,1,58,140000,600000.0
2012,中国,气候灾害,洪涝,中国,1,21,0,500000.0
2012,中国,气候灾害,洪涝,中国,1,16,125000,378000.0
2012,中国,气候灾害,洪涝,中国,1,70,500000,800000.0
2012,中国,气候灾害,洪涝,中国,1,15,0,370000.0
2012,中国,气候灾害,洪涝,中国,1,15,210000,306000.0
2013,中国,气候灾害,洪涝,中国,1,20,255000,165000.0
2013,中国,气候灾害,洪涝,中国,1,55,300000,661000.0
2013,中国,气候灾害,洪涝,中国,1,12,100000,445000.0
2013,中国,气候灾害,洪涝,中国,1,12,200000,333000.0
2013,中国,气候灾害,洪涝,中国,1,15,10000,277000.0
2013,中国,气候灾害,洪涝,中国,1,11,280500,555000.0
2013,中国,气候灾害,洪涝,中国,1,55,625000,1400000.0
2013,中国,气候灾害,洪涝,中国,1,233,3500000,4621600.0
2013,中国,气候灾害,洪涝,中国,1,36,718500,1400000.0
2013,中国,气候灾害,洪涝,中国,1,10,125000,571000.0
2013,中国,气候灾害,洪涝,中国,1,43,255000,457000.0
2013,中国,气候灾害,洪涝,中国,1,118,1075000,4960000.0
2013,中国,气候灾害,洪涝,中国,1,17,150030,343000.0
2013,中国,气候灾害,洪涝,中国,1,0,90000,410000.0
2014,中国,气候灾害,洪涝,中国,1,37,5500000,1000000.0
2014,中国,气候灾害,洪涝,中国,1,33,720000,677000.0
2014,中国,气候灾害,洪涝,中国,1,24,15000000,900000.0
2014,中国,气候灾害,洪涝,中国,1,24,150000,483000.0
2014,中国,气候灾害,洪涝,中国,1,23,25000,500000.0
2014,中国,气候灾害,洪涝,中国,1,66,110500,1250000.0
2014,中国,气候灾害,洪涝,中国,1,27,150000,487000.0
2014,中国,气候灾害,洪涝,中国,1,10,50000,600000.0
2014,中国,气候灾害,洪涝,中国,1,65,300000,570000.0
2014,中国,气候灾害,洪涝,中国,1,50,1065000,1400000.0
2014,中国,气候灾害,洪涝,中国,1,24,61000,0.0
2014,中国,气候灾害,洪涝,中国,1,53,0,700000.0
2014,中国,气候灾害,洪涝,中国,1,37,450000,1100000.0
2015,中国,气候灾害,洪涝,中国,1,58,82000,800000.0
2015,中国,气候灾害,洪涝,中国,1,20,60000,254000.0
2015,中国,气候灾害,洪涝,中国,1,17,60000,500000.0
2015,中国,气候灾害,洪涝,中国,1,15,2400,200000.0
2015,中国,气候灾害,洪涝,中国,1,9,60000,625000.0
2015,中国,气候灾害,洪涝,中国,1,16,60000,2000000.0
2015,中国,气候灾害,洪涝,中国,1,35,144900,645000.0
2015,中国,气候灾害,洪涝,中国,1,28,128610,1200000.0
2015,中国,气候灾害,洪涝,中国,1,19,45000,418000.0
2015,中国,气候灾害,洪涝,中国,1,41,77440,220000.0
2015,中国,气候灾害,洪涝,中国,1,14,15000,0.0
2015,中国,气候灾害,洪涝,中国,1,38,639000,130000.0
2016,中国,气候灾害,洪涝,中国,1,11,3000,20000.0
2016,中国,气候灾害,洪涝,中国,1,5,219300,170000.0
2016,中国,气候灾害,洪涝,中国,1,20,48000,97000.0
2016,中国,气候灾害,洪涝,中国,1,12,44100,447000.0
2016,中国,气候灾害,洪涝,中国,1,17,0,69000.0
2016,中国,气候灾害,洪涝,中国,1,25,254400,664000.0
2016,中国,气候灾害,洪涝,中国,1,68,165000,3000000.0
2016,中国,气候灾害,洪涝,中国,1,34,150000,675000.0
2016,中国,气候灾害,洪涝,中国,1,289,60000000,22000000.0
2016,中国,气候灾害,洪涝,中国,1,289,375000,4500000.0
2016,中国,气候灾害,洪涝,中国,1,23,36900,130000.0
2016,中国,气候灾害,洪涝,中国,1,23,1500,21000.0
2017,中国,气候灾害,洪涝,中国,1,1,28500,107000.0
2017,中国,气候灾害,洪涝,中国,1,10,0,93000.0
2017,中国,气候灾害,洪涝,中国,1,78,12000008,6000000.0
2017,中国,气候灾害,洪涝,中国,1,11,34500,115000.0
2017,中国,气候灾害,洪涝,中国,1,1,2700,277000.0
2017,中国,气候灾害,洪涝,中国,1,13,21600,145000.0
2017,中国,气候灾害,洪涝,中国,1,12,9600,37000.0
2017,中国,气候灾害,洪涝,中国,1,40,45000,315000.0
2017,中国,气候灾害,洪涝,中国,1,16,61500,361000.0
2017,中国,气候灾害,洪涝,中国,1,23,15600,75000.0
2017,中国,气候灾害,洪涝,中国,1,18,37800,429000.0
2017,中国,气候灾害,洪涝,中国,1,8,76800,492000.0
2018,中国,气候灾害,洪涝,中国,1,108,450000,1300000.0
2018,中国,气候灾害,洪涝,中国,1,77,225000,373000.0
2018,中国,气候灾害,洪涝,中国,1,3,1381000,781283.0
2018,中国,气候灾害,洪涝,中国,1,16,1519000,530689.0
2018,中国,气候灾害,洪涝,中国,1,11,36000,278000.0
2018,中国,气候灾害,洪涝,中国,1,18,11400,790000.0
1934,中国,气候灾害,滑坡,中国,1,500,0,0.0
1982,中国,气候灾害,滑坡,中国,1,75,0,0.0
1982,中国,气候灾害,滑坡,中国,1,19,0,0.0
1984,中国,气候灾害,滑坡,中国,1,100,40,0.0
1985,中国,气候灾害,滑坡,中国,1,60,0,0.0
1987,中国,气候灾害,滑坡,中国,1,65,119,0.0
1988,中国,气候灾害,滑坡,中国,1,35,51000,0.0
1988,中国,气候灾害,滑坡,中国,1,17,1000,0.0
1989,中国,气候灾害,滑坡,中国,1,4,5370,0.0
1991,中国,气候灾害,滑坡,中国,1,200,0,0.0
1993,中国,气候灾害,滑坡,中国,1,120,0,0.0
1994,中国,气候灾害,滑坡,中国,1,48,0,0.0
1995,中国,气候灾害,滑坡,中国,1,37,0,0.0
1996,中国,气候灾害,滑坡,中国,1,56,554,0.0
1996,中国,气候灾害,滑坡,中国,1,226,0,0.0
1996,中国,气候灾害,滑坡,中国,1,226,77,0.0
1996,中国,气候灾害,滑坡,中国,1,23,0,0.0
1997,中国,气候灾害,滑坡,中国,1,110,1821,0.0
1997,中国,气候灾害,滑坡,中国,1,79,30,0.0
1998,中国,气候灾害,滑坡,中国,1,100,15,890000.0
1999,中国,气候灾害,滑坡,中国,1,23,45,0.0
2000,中国,气候灾害,滑坡,中国,1,71,2000,0.0
2000,中国,气候灾害,滑坡,中国,1,14,27,2400.0
2001,中国,气候灾害,滑坡,中国,1,74,0,0.0
2001,中国,气候灾害,滑坡,中国,1,19,10307,60000.0
2001,中国,气候灾害,滑坡,中国,1,34,308,0.0
2001,中国,气候灾害,滑坡,中国,1,11,1000,0.0
2001,中国,气候灾害,滑坡,中国,1,14,10018,0.0
2001,中国,气候灾害,滑坡,中国,1,16,0,0.0
2002,中国,气候灾害,滑坡,中国,1,10,0,0.0
2002,中国,气候灾害,滑坡,中国,1,16,0,0.0
2002,中国,气候灾害,滑坡,中国,1,15,11,0.0
2002,中国,气候灾害,滑坡,中国,1,22,0,0.0
2003,中国,气候灾害,滑坡,中国,1,35,0,0.0
2003,中国,气候灾害,滑坡,中国,1,17,0,0.0
2004,中国,气候灾害,滑坡,中国,1,21,100,0.0
2006,中国,气候灾害,滑坡,中国,1,11,0,0.0
2007,中国,气候灾害,滑坡,中国,1,33,1,0.0
2008,中国,气候灾害,滑坡,中国,1,12,0,0.0
2008,中国,气候灾害,滑坡,中国,1,19,0,0.0
2008,中国,气候灾害,滑坡,中国,1,277,35,0.0
2008,中国,气候灾害,滑坡,中国,1,15,0,0.0
2009,中国,气候灾害,滑坡,中国,1,72,0,0.0
2009,中国,气候灾害,滑坡,中国,1,54,10004,139000.0
2009,中国,气候灾害,滑坡,中国,1,23,0,0.0
2009,中国,气候灾害,滑坡,中国,1,31,18,0.0
2009,中国,气候灾害,滑坡,中国,1,23,0,0.0
2010,中国,气候灾害,滑坡,中国,1,52,2100000,0.0
2010,中国,气候灾害,滑坡,中国,1,99,0,0.0
2010,中国,气候灾害,滑坡,中国,1,21,0,0.0
2010,中国,气候灾害,滑坡,中国,1,1765,47200,759000.0
2010,中国,气候灾害,滑坡,中国,1,32,500,0.0
2010,中国,气候灾害,滑坡,中国,1,92,0,0.0
2010,中国,气候灾害,滑坡,中国,1,48,0,0.0
2010,中国,气候灾害,滑坡,中国,1,28,135,0.0
2011,中国,气候灾害,滑坡,中国,1,22,0,0.0
2011,中国,气候灾害,滑坡,中国,1,18,2,0.0
2012,中国,气候灾害,滑坡,中国,1,19,0,0.0
2013,中国,气候灾害,滑坡,中国,1,83,0,0.0
2013,中国,气候灾害,滑坡,中国,1,17,0,0.0
2013,中国,气候灾害,滑坡,中国,1,11,2,0.0
2014,中国,气候灾害,滑坡,中国,1,25,407,0.0
2014,中国,气候灾害,滑坡,中国,1,10,0,0.0
2015,中国,气候灾害,滑坡,中国,1,38,300,0.0
2016,中国,气候灾害,滑坡,中国,1,66,237600,700000.0
2016,中国,气候灾害,滑坡,中国,1,22,7,0.0
2016,中国,气候灾害,滑坡,中国,1,35,0,0.0
2017,中国,气候灾害,滑坡,中国,1,12,0,0.0
2017,中国,气候灾害,滑坡,中国,1,83,400,0.0
2017,中国,气候灾害,滑坡,中国,1,25,4,0.0
2017,中国,气候灾害,滑坡,中国,1,35,758,2300.0
1983,中国,地球物理灾害,块体运动,中国,1,277,0,0.0
1990,中国,地球物理灾害,块体运动,中国,1,69,10,0.0
1990,中国,地球物理灾害,块体运动,中国,1,4,5105,0.0
1992,中国,地球物理灾害,块体运动,中国,1,49,0,0.0
2004,中国,地球物理灾害,块体运动,中国,1,44,353,0.0
2006,中国,地球物理灾害,块体运动,中国,1,11,5,0.0
2013,中国,地球物理灾害,块体运动,中国,1,46,2,8000.0
1912,中国,气候灾害,风暴,中国,1,50000,0,0.0
1922,中国,气候灾害,风暴,中国,1,100000,0,0.0
1927,中国,气候灾害,风暴,中国,1,5000,0,0.0
1948,中国,气候灾害,风暴,中国,1,1000,0,0.0
1948,中国,气候灾害,风暴,中国,1,800,0,0.0
1956,中国,气候灾害,风暴,中国,1,2000,0,0.0
