交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2024/4/1 21:45,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160901219824040110102004426099807766112131804	","1200129707174240401010104041608385913951	",打开拼多多，领更多现金红包
2024/4/1 21:45,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"126667480124040110112004346522798386112131306	","1200010502144240401010004034508317928954	",打开拼多多，领更多现金红包
2024/4/1 6:42,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160876236724040110102004425994324501112131549	","1200129470324240401010004031907999560021	",打开拼多多，领更多现金红包
2024/3/31 20:51,转账,素乌,转账备注:微信转账,支出,￥2.00,零钱通,对方已收钱,"53010000298082202403313232399741	","1000050001202403310524855817325	",/
2024/3/31 8:52,其他,打开拼多多，领更多现金红包,/,收入,￥0.08,/,已到账,"160876228124033110103004415166845467112131965	","1200129470293240331010103037207719247094	",打开拼多多，领更多现金红包
2024/3/30 0:18,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"160871516524033010102004125977656665112131135	","1200129426281240330010103052807142352919	",打开拼多多，领更多现金红包
2024/3/29 6:29,其他,打开拼多多，领更多现金红包,/,收入,￥0.08,/,已到账,"160901216924032910101004318450012423112131908	","1200129707125240329010303024606746775959	",打开拼多多，领更多现金红包
2024/3/28 6:24,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"152206076124032810102004425963758738112131185	","1200103427148240328010503027206231114119	",打开拼多多，领更多现金红包
2024/3/27 18:13,商户消费,小米商城,小米-5240327323011290,支出,￥9.99,零钱通,支付成功,"4200002224202403271901184391	","13Q321711534404899221911	",/
2024/3/27 6:35,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160893851224032710109004135913109675112131983	","1200129637517240327010003035305843248397	",打开拼多多，领更多现金红包
2024/3/27 6:29,转入零钱通-来自零钱,/,/,/,￥0.11,零钱,支付成功,"4200002162202403277413182629	","18000077742403270025736767780131	",/
2024/3/26 0:21,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160901219824032610101004618025316596112131804	","1200129707174240326010503086005343167317	",打开拼多多，领更多现金红包
2024/3/25 6:48,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"126667480124032510111004236537171133112131306	","1200010502144240325010103089005053632929	",打开拼多多，领更多现金红包
2024/3/24 16:57,商户消费,湘行一卡通,公交卡充值5.00元,支出,￥5.00,零钱通,支付成功,"4200002177202403242641040105	","R202403241657276339987826962	",/
2024/3/24 13:55,转入零钱通-来自零钱,/,/,/,￥0.21,零钱,支付成功,"4200002167202403246177562440	","18000077742403240025718857659131	",/
2024/3/24 12:06,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"160876240224032410111004536132396149112131138	","1200129470344240324010103011704744294397	",打开拼多多，领更多现金红包
2024/3/23 0:16,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"160893854324032310103004116363639009112131892	","1200129637529240323010203001404161755128	",打开拼多多，领更多现金红包
2024/3/22 7:16,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"160901216924032210106004246106561911112131908	","1200129707125240322010003080703859169952	",打开拼多多，领更多现金红包
2024/3/21 6:16,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"160876228124032110102004425211350130112131965	","1200129470293240321010503044703416952926	",打开拼多多，领更多现金红包
2024/3/20 6:25,转入零钱通-来自零钱,/,/,/,￥0.13,零钱,支付成功,"4200002150202403200149217487	","18000077742403200025787785941131	",/
2024/3/20 6:19,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"160876232124032010105004637166196408112131738	","1200129470310240320010303010902986237843	",打开拼多多，领更多现金红包
2024/3/19 22:28,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"132329130124031910109004435861630360112131264	","1200011594745240319010503026102919918014	",打开拼多多，领更多现金红包
2024/3/19 20:33,转账,蒋家垅,转账备注:微信转账,支出,￥6.00,零钱通,对方已收钱,"53010000421063202403192635494304	","1000050001202403190321608954450	",/
2024/3/18 21:19,转入零钱通-来自零钱,/,/,/,￥0.45,零钱,支付成功,"4200002173202403186443085556	","18000077742403180025780184101131	",/
2024/3/18 18:49,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"126667480124031810107004215024404864112131306	","1200010502144240318010303083902541281437	",打开拼多多，领更多现金红包
2024/3/17 13:28,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160901219824031710104004628780353653112131804	","1200129707174240317010503025402002167991	",打开拼多多，领更多现金红包
2024/3/16 19:22,商户消费,拼多多平台商户,商户单号XP2424031619201623876526005694,支出,￥6.00,零钱通,支付成功,"4200002181202403169265822679	","XP2424031619201623876526005694	",/
2024/3/16 16:01,商户消费,Valve,Steam Purchase 1282692270,支出,￥7.00,零钱通,支付成功,"4200002199202403168840450869	","S2P658091156	",/
2024/3/16 14:11,商户消费,小米商城,小米-5240316822707709,支出,￥9.99,零钱通,支付成功,"4200002199202403161242480084	","13Q321710569479389311571	",/
2024/3/16 9:26,转账,????妈妈1,转账备注:微信转账,支出,￥9.00,零钱通,对方已收钱,"53010000107090202403163034437189	","1000050001202403161426462214366	",/
2024/3/16 6:41,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"152278259124031610107004518827028766112131037	","1200103597703240316010103003601462084858	",打开拼多多，领更多现金红包
2024/3/15 6:28,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"160876228124031510104004628763421619112131965	","1200129470293240315010203054101037496480	",打开拼多多，领更多现金红包
2024/3/14 18:02,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160866058824031410111004236164273913112131894	","1200129374623240314010303041800952648685	",打开拼多多，领更多现金红包
2024/3/13 12:37,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160866058824031310109004135817590978112131894	","1200129374623240313010103025700465593280	",打开拼多多，领更多现金红包
2024/3/13 12:27,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160876240224031310101004618109759934112131138	","1200129470344240313010403086200400275174	",打开拼多多，领更多现金红包
2024/3/13 7:58,商户消费,拼多多平台商户,商户单号XP1124031307201444305262001153,支出,￥5.43,零钱通,支付成功,"4200002189202403130255903936	","XP1124031307201444305262001153	",/
2024/3/12 0:05,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"152278259124031210112004648537300601112131037	","1200103597703240312010503026809836893556	",打开拼多多，领更多现金红包
2024/3/11 17:54,商户消费,书亦,长沙湘春路明德中学店-202403111754000001804732538,支出,￥16.00,零钱通,支付成功,"4200002147202403114578710290	","122235627421624031117540465050	",/
2024/3/11 0:14,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160901216924031110102004125937581558112131908	","1200129707125240311010503017609411450177	",打开拼多多，领更多现金红包
2024/3/11 0:12,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"152190117124031110111004236138254266112131002	","1200103424739240311010203012309486167115	",打开拼多多，领更多现金红包
2024/3/10 20:54,转入零钱通-来自零钱,/,/,/,￥0.28,零钱,支付成功,"4200002156202403106202943524	","18000077742403100025531667904131	",/
2024/3/10 10:15,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"132335770124031010110004145963835162112131767	","1200011600761240310010303061609204539889	",打开拼多多，领更多现金红包
2024/3/9 22:39,商户消费,零食很忙,零食很忙长沙蒋家垅店-消费,支出,￥7.20,零钱通,支付成功,"4200002170202403093260956444	","60506428240690060413	",/
2024/3/9 8:51,商户消费,拼多多平台商户,商户单号XP2124030908201235944152002216,支出,￥13.80,零钱通,支付成功,"4200002147202403096391061710	","XP2124030908201235944152002216	",/
2024/3/9 7:52,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"160572459524030910105004637686618101112131937	","1200126558674240309010203044208695156080	",打开拼多多，领更多现金红包
2024/3/8 22:56,微信红包（单发）,发给??C周天,/,支出,￥1.80,零钱通,支付成功,"100003980124030800050123624125074131	","1000039801202403086410935814019	",/
2024/3/8 20:54,微信红包-退款,/,/,收入,￥1.80,/,已全额退款,"1000039801202403076315047844031	","	",/
2024/3/8 6:24,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"152190117124030810110004145948128690112131002	","1200103424739240308010503048108365255563	",打开拼多多，领更多现金红包
2024/3/7 23:21,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"160901214224030710102004125315329362112131919	","1200129707079240307010003029108215980180	",打开拼多多，领更多现金红包
2024/3/7 20:54,微信红包（单发）,发给??C周天,/,支出,￥1.80,零钱通,已全额退款,"100003980124030700050124317702119131	","1000039801202403076315047844031	",/
2024/3/6 19:46,转入零钱通-来自零钱,/,/,/,￥1.06,零钱,支付成功,"4200002139202403064084244995	","18000077742403060025817199975131	",/
2024/3/6 13:47,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160866058824030610108004226993343806112131894	","1200129374623240306010503050507734146185	",打开拼多多，领更多现金红包
2024/3/5 6:42,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"126667480124030510103004116339484383112131306	","1200010502144240305010203033407098950330	",打开拼多多，领更多现金红包
2024/3/4 21:27,二维码收款,????妈妈1,收款方备注:二维码收款付款方留言:小扣扣,收入,￥1.00,零钱,已收钱,"10000499012024030400015316729107	","/	",/
2024/3/4 13:57,转入零钱通-来自零钱,/,/,/,￥150.26,零钱,支付成功,"4200002165202403043277081103	","18000077742403040025708719097131	",/
2024/3/4 13:57,转账,????妈妈1,转账备注:手机费,收入,￥150.00,/,已存入零钱,"1000050001202403041523598512552	","/	",/
2024/3/4 0:22,其他,打开拼多多，领更多现金红包,/,收入,￥0.13,/,已到账,"160893854324030410101004317064381900112131892	","1200129637529240304010403063806656667039	",打开拼多多，领更多现金红包
2024/3/3 11:57,其他,打开拼多多，领更多现金红包,/,收入,￥0.13,/,已到账,"132329130124030310104004628781862264112131264	","1200011594745240303010403006106460049935	",打开拼多多，领更多现金红包
2024/3/2 21:42,商户消费,中国电信,为13786172582充值122.0元，谨防诈骗,支出,￥121.76,零钱通,支付成功,"4200002137202403022891941909	","ZY2403022142450084911717	",/
2024/3/2 20:20,商户消费,蜜雪冰城,蜜雪冰城932127店,支出,￥10.00,零钱通,支付成功,"4200002173202403020601596549	","146324579721624030220204221359	",/
2024/3/2 15:09,商户消费,长沙地铁,长沙地铁消费,支出,￥10.00,零钱通,支付成功,"4200067702202403020969747055	","202403021508592001759503530	",/
2024/3/2 15:08,转入零钱通-来自零钱,/,/,/,￥0.18,零钱,支付成功,"4200002168202403029743146826	","18000077742403020015600768496131	",/
2024/3/2 14:51,商户消费,湘行一卡通,公交卡充值10.00元,支出,￥10.00,零钱通,支付成功,"4200002130202403023447900949	","R202403021451492628190513940	",/
2024/3/2 14:06,商户消费,湘行一卡通,公交卡充值5.00元,支出,￥5.00,零钱通,支付成功,"4200002099202403029921161509	","R202403021406009344414810647	",/
2024/3/2 0:03,其他,打开拼多多，领更多现金红包,/,收入,￥0.15,/,已到账,"160876228124030210107004515006932015112131965	","1200129470293240302010203054105784925574	",打开拼多多，领更多现金红包
2024/3/1 19:50,微信红包（单发）,发给????妈妈1,/,支出,￥59.00,零钱通,支付成功,"100003980124030100050123493149917131	","1000039801202403016064303330031	",/
2024/3/1 7:02,其他,打开拼多多，领更多现金红包,/,收入,￥0.03,/,已到账,"132329130124030110110004446498862190112131264	","1200011594745240301010403016405516782102	",打开拼多多，领更多现金红包
2024/3/1 6:51,转入零钱通-来自零钱,/,/,/,￥0.11,零钱,支付成功,"4200002162202403014509975997	","18000077742403010025695481599131	",/
2024/3/1 6:47,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"132335770124030110109004135330379867112131767	","1200011600761240301010503026205489472680	",打开拼多多，领更多现金红包
2024/2/29 23:29,转入零钱通-来自零钱,/,/,/,￥0.44,零钱,支付成功,"4200002078202402295068911117	","18000077742402290025594213293131	",/
2024/2/29 6:56,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160876232124022910109004435323373193112131738	","1200129470310240229010002071505124292485	",打开拼多多，领更多现金红包
2024/2/28 12:34,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160901219824022810102004425952937543112131804	","1200129707174240228010102021804829843963	",打开拼多多，领更多现金红包
2024/2/27 13:54,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160893854324022710101004318424493781112131892	","1200129637529240227010102029004452704882	",打开拼多多，领更多现金红包
2024/2/26 6:38,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160871516524022610106004245467104196112131135	","1200129426281240226010102077303900504371	",打开拼多多，领更多现金红包
2024/2/24 19:57,商户消费,MIDI 音乐,#20247184698,支出,￥5.00,零钱通,支付成功,"4200002134202402240548299802	","20247184698	",/
2024/2/24 11:17,转入零钱通-来自零钱,/,/,/,￥0.11,零钱,支付成功,"4200002080202402240820046457	","18000077742402240025676688880131	",/
2024/2/23 15:44,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160876232124022310110004446453129702112131738	","1200129470310240223010002089102911538294	",打开拼多多，领更多现金红包
2024/2/23 15:31,商户消费,中国体育彩票-43010500033,"收银台,订单号：O2024022315312787459032062",支出,￥4.00,零钱通,支付成功,"4200002105202402231682899689	","BCS20240223153129UW57652513	",/
2024/2/22 15:00,转入零钱通-来自零钱,/,/,/,￥100.00,零钱,支付成功,"4200002087202402222836434712	","18000077742402220025570315460131	",/
2024/2/22 15:00,转账,????妈妈1,转账备注:2月零花钱,收入,￥100.00,/,已存入零钱,"1000050001202402223722969585316	","/	",/
2024/2/22 10:08,商户消费,零食很忙,零食很忙长沙蒋家垅店-消费,支出,￥6.20,零钱通,支付成功,"4200002084202402228914703477	","60506428240530060027	",/
2024/2/22 9:00,商户消费,湘行一卡通,公交卡充值10.00元,支出,￥10.00,零钱通,支付成功,"4200002108202402223103414714	","R202402220900435944239628033	",/
2024/2/19 21:31,转入零钱通-来自零钱,/,/,/,￥69.26,零钱,支付成功,"4200002090202402194970660181	","18000077742402190025326418783131	",/
2024/2/19 21:30,转账,????妈妈1,转账备注:微信转账,收入,￥69.00,/,已存入零钱,"1000050001202402192420425755749	","/	",/
2024/2/19 20:03,商户消费,书亦,湖南烈士公园西门店-202402192003160002401129030,支出,￥8.00,零钱通,支付成功,"4200002062202402193294381521	","122161245221624021920032302572	",/
2024/2/19 19:54,商户消费,美团,美团订单-24021911100300001301816512966785,支出,￥10.80,零钱通,支付成功,"4200002110202402198141322053	","20240219195431U70041214608601506	",/
2024/2/19 19:30,商户消费,拼多多平台商户,商户单号XP2324021919200043109602004968,支出,￥16.90,零钱通,支付成功,"4200002089202402192939728783	","XP2324021919200043109602004968	",/
2024/2/19 18:56,商户消费,小米商城,小米-5240219855317248,支出,￥69.00,零钱通,支付成功,"4200002108202402192304726181	","13Q321708340158700601849	",/
2024/2/19 8:15,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160572459524021910104004625688784709112131937	","1200126558674240219010002059801206058560	",打开拼多多，领更多现金红包
2024/2/19 8:10,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160866058824021910106004245921027511112131894	","1200129374623240219010202079001181189716	",打开拼多多，领更多现金红包
2024/2/19 8:05,其他,打开拼多多，领更多现金红包,/,收入,￥0.03,/,已到账,"126667480124021910106004245416627668112131306	","1200010502144240219010302070401190616790	",打开拼多多，领更多现金红包
2024/2/18 0:31,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160876228124021810102004425676259132112131965	","1200129470293240218010202095800638157922	",打开拼多多，领更多现金红包
2024/2/17 20:13,商户消费,小米科技有限责任公司,小米-5240217759911461,支出,"￥3,538.00",零钱通,支付成功,"4200002095202402179207635926	","13Q321708171945258051617	",/
2024/2/17 12:31,转入零钱通-来自零钱,/,/,/,￥3.01,零钱,支付成功,"4200002067202402178827015384	","18000077742402170025325108399131	",/
2024/2/16 15:08,商户消费,Valve,Steam Purchase 1249065767,支出,￥22.50,零钱通,支付成功,"4200002104202402165996410325	","S2P642012535	",/
2024/2/16 0:21,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"152278259124021610106004548600188265112131037	","1200103597703240216010102093700060349018	",打开拼多多，领更多现金红包
2024/2/15 11:59,二维码收款,反方向的钟,收款方备注:二维码收款,收入,￥3.00,零钱,已收钱,"10001071012024021501810861181629	","/	",/
2024/2/15 11:47,转入零钱通-来自零钱,/,/,/,￥0.05,零钱,支付成功,"4200002059202402154194262184	","18000077742402150025449970769131	",/
2024/2/15 0:39,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"152190117124021510108004226753022478112131002	","1200103424739240215010302096809790031897	",打开拼多多，领更多现金红包
2024/2/14 22:21,商户消费,美团,【新疆阿凡提羊肉串大全】烤花菜（3串） ? ???????…,支出,￥86.80,零钱通,支付成功,"4200002096202402146577208170	","20240214222139U20886867354127323	",/
2024/2/14 12:36,商户消费,平台商户收单,用户余额充值UID：1707885360,支出,￥19.53,零钱通,支付成功,"4200002087202402144695135666	","2402141236026239516	",/
2024/2/14 1:01,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160893854324021410101004317031590788112131892	","1200129637529240214010402032609381882836	",打开拼多多，领更多现金红包
2024/2/13 1:27,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"126667480124021310108004226843269585112131306	","1200010502144240213010302089509126144526	",打开拼多多，领更多现金红包
2024/2/12 20:17,扫二维码付款,福垅食品店,收款方备注:二维码收款,支出,￥9.00,零钱通,已转账,"100010710124021200056128218527394131	","10001071012024021201565306957625	",/
2024/2/12 17:57,商户消费,湘行一卡通,公交卡充值1.40元,支出,￥1.40,零钱通,支付成功,"4200002122202402120572060165	","R202402121757379550900538151	",/
2024/2/12 17:01,微信红包,V?e?v?o?,/,收入,￥0.01,/,已存入零钱,"1000039901000402126039906213716	","1000039901202402126039906213716	",/
2024/2/12 17:01,微信红包（群红包）,发出群红包,/,支出,￥0.02,零钱通,支付成功,"100003990124021200050127738028760131	","1000039901202402126039906213716	",/
2024/2/12 14:36,商户消费,珊珊,长沙凯源珊珊商贸连锁管理有限公司-消费,支出,￥11.50,零钱通,支付成功,"4200066300202402122014098315	","0137240212143658	",/
2024/2/12 14:05,商户消费,湘行一卡通,公交卡充值5.00元,支出,￥5.00,零钱通,支付成功,"4200002105202402127703772992	","R202402121405451475420284623	",/
2024/2/12 0:10,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160876232124021210108004526636984585112131738	","1200129470310240212010402026808864186992	",打开拼多多，领更多现金红包
2024/2/11 21:18,转入零钱通-来自零钱,/,/,/,￥800.01,零钱,支付成功,"4200002081202402116735107613	","18000077742402110025539687447131	",/
2024/2/11 21:18,转账,????妈妈1,转账备注:微信转账,收入,￥800.00,/,已存入零钱,"1000050001202402111320997320147	","/	",/
2024/2/11 16:11,商户消费,Valve,Steam Purchase 1242187837,支出,￥22.80,零钱通,支付成功,"4200002122202402118330827766	","S2P638242286	",/
2024/2/11 8:47,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160893854324021110102004126038719414112131892	","1200129637529240211010002030108718669773	",打开拼多多，领更多现金红包
2024/2/10 13:20,商户消费,肯德基,KFC_PRE_PLUSWX10012331441375558324719,支出,￥21.00,零钱通,支付成功,"4200002062202402108900404835	","WX10012331441375558324719	",/
2024/2/10 1:14,转入零钱通-来自零钱,/,/,/,￥1.00,零钱,支付成功,"4200002069202402108913930156	","18000077742402100025533927711131	",/
2024/2/10 1:12,微信红包（单发）,发给是小白夜的信徒,/,支出,￥1.00,零钱,支付成功,"100003980124021000050124362615703131	","1000039801202402106134173595979	",/
2024/2/10 1:11,微信红包,是小白夜的信徒,/,收入,￥2.00,/,已存入零钱,"1000039801000402107010672010014	","1000039801202402107010672010014	",/
2024/2/9 19:40,转入零钱通-来自零钱,/,/,/,￥400.00,零钱,支付成功,"4200002079202402090744623923	","18000077742402090025433053580131	",/
2024/2/9 19:40,转账,????村 长??,转账备注:微信转账,收入,￥400.00,/,已存入零钱,"1000050001202402091525323744302	","/	",/
2024/2/9 19:08,转入零钱通-来自零钱,/,/,/,￥0.03,零钱,支付成功,"4200002066202402098125983080	","18000077742402090025732911612131	",/
2024/2/9 19:01,二维码收款,柒,收款方备注:二维码收款,收入,￥0.03,零钱,已收钱,"10000499012024020900873280977071	","/	",/
2024/2/9 15:13,转入零钱通-来自零钱,/,/,/,￥31.71,零钱,支付成功,"4200002086202402095576541813	","18000077742402090025632052920131	",/
2024/2/9 15:12,转账,????妈妈1,转账备注:微信转账,收入,￥18.00,/,已存入零钱,"1000050001202402091227549405287	","/	",/
2024/2/9 15:10,商户消费,肯德基,KFC_PREWX10012331106082871390556,支出,￥18.00,零钱通,支付成功,"4200002056202402097161307893	","WX10012331106082871390556	",/
