编号,手机品牌,评论信息,情感倾向,备注
0,华为HUAWEI,"""这款手机真的很棒，拍照效果超级清晰，运行速度也很快！""",正向,
1,Sony Xperia,"""手机的屏幕太小了，看视频有点不方便，希望能有更大尺寸的选择。""",负向,
2,Huawei Mate,"""电池续航时间非常长，可以使用一整天都不用充电，非常满意！""",正向,
3,OPPO Reno,"""手机的外观设计非常漂亮，手感也很好，拿在手上非常舒服。""",正向,
4,Vivo X series,"""系统反应速度太慢了，打开应用都要等好几秒，非常不满意。""",负向,
5,Samsung Galaxy,"""手机的信号接收非常稳定，无论在室内还是室外都不会掉线，非常可靠。""",正向,
6,Apple iPhone,"""相比其他品牌的手机，这款手机的价格相对较高，但性能确实也更好一些。""",正向,
7,OPPO Reno,"""手机的音质非常好，听音乐效果非常棒，非常喜欢！""",正向,
8,OnePlus,"""屏幕显示效果很差，颜色偏黄，亮度也不够，不太满意。""",负向,
9,Sony Xperia,"""手机的存储空间太小了，只能装几个应用就没地方了，希望能有更大容量的选择。""",中性,
10,Apple iPhone, "这款手机拍照效果真的很棒，每次拍出来的照片都很清晰，非常满意。",,
11,Samsung Galaxy, "手机的电池续航时间太短了，一天下来就没电了，非常失望。",,
12,Huawei Mate, "这款手机的外观设计非常漂亮，手感也很好，非常喜欢！",,
13,Xiaomi Redmi, "手机的运行速度非常快，打开应用都是秒开，非常满意！",,
14,OnePlus, "手机的屏幕显示效果很差，颜色偏暗，不太满意。",,
15,Google Pixel, "这款手机的相机拍照效果非常出色，每张照片都很漂亮，非常喜欢！",,
16,OPPO Reno, "手机的音质非常好，听音乐效果很棒，非常满意！",,
17,Vivo X series, "手机的存储空间太小了，只能装几个应用就没空间了，希望有更大容量的选择。",,
18,Motorola Moto, "手机的信号接收非常稳定，无论在室内还是室外都不会掉线，非常可靠。",,
19,Sony Xperia, "手机的屏幕太小了，看视频有点不方便，希望能有更大尺寸的选择。",,
20,Apple iPhone, "这款手机的性能非常强大，运行各种应用都非常流畅，非常满意！",,
21,Samsung Galaxy, "手机的屏幕显示效果很好，色彩鲜艳，观影体验非常棒！",,
22,Huawei Mate, "手机的电池续航时间很长，一次充满电可以使用一整天，非常满意。",,
23,Xiaomi Redmi, "这款手机的外观设计很简约时尚，手感也很舒适，非常喜欢！",,
24,OnePlus, "手机的系统反应速度非常快，打开应用几乎没有延迟，非常满意！",,
25,Google Pixel, "手机的相机拍照效果非常出众，色彩还原度很高，每张照片都很美！",,
26,OPPO Reno, "手机的音质表现很棒，听音乐声音清晰、音质纯正，非常喜欢！",,
27,Vivo X series, "手机的存储空间够大，可以装下很多应用和文件，非常满意！",,
28,Motorola Moto, "手机的信号接收稳定，即使在信号较差的地方也不会掉线，非常可靠。",,
29,Sony Xperia, "手机的屏幕显示效果很好，色彩鲜艳，观看视频很享受！",,
30,Apple iPhone, "这款手机的外观设计非常精美，工艺做工也很精细，非常喜欢！",,
31,Samsung Galaxy, "手机的电池续航时间不够长，一天下来需要频繁充电，有点麻烦。",,
32,Huawei Mate, "手机的性能很强大，运行各种应用都很流畅，非常满意！",,
33,Xiaomi Redmi, "手机的运行速度较慢，打开应用有点卡顿，不太满意。",,
34,OnePlus, "手机的屏幕显示效果不错，色彩还原度较高，观影效果还可以。",,
35,Google Pixel, "手机的相机拍照效果一般，有时候色彩过饱和，拍出来的照片不太满意。",,
36,OPPO Reno, "手机的音质还可以，但有时候声音会有点小，希望能更大声一些。",,
37,Vivo X series, "手机的存储空间不够大，装了几个应用就没空间了，有点不方便。",,
38,Motorola Moto, "手机的信号接收较差，有时候会出现掉线的情况，不太可靠。",,
39,Sony Xperia, "手机的屏幕太小了，看视频不够爽，希望能有更大尺寸的选择。",,
40,Apple iPhone, "这款手机拍照效果真的很棒，每次拍出来的照片都很清晰，非常满意。",,
41,Samsung Galaxy, "手机的电池续航时间太短了，一天下来就没电了，非常失望。",,
42,Huawei Mate, "这款手机的外观设计非常漂亮，手感也很好，非常喜欢！",,
43,Xiaomi Redmi, "手机的运行速度非常快，打开应用都是秒开，非常满意！",,
44,OnePlus, "手机的屏幕显示效果很差，颜色偏暗，不太满意。",,
45,Google Pixel, "这款手机的相机拍照效果非常出色，每张照片都很漂亮，非常喜欢！",,
46,OPPO Reno, "手机的音质非常好，听音乐效果很棒，非常满意！",,
47,Vivo X series, "手机的存储空间太小了，只能装几个应用就没空间了，希望有更大容量的选择。",,
48,Motorola Moto, "手机的信号接收非常稳定，无论在室内还是室外都不会掉线，非常可靠。",,
49,Sony Xperia, "手机的屏幕太小了，看视频有点不方便，希望能有更大尺寸的选择。",,
50,Apple iPhone, "这款手机的性能非常强大，运行各种应用都非常流畅，非常满意！",,
51,Samsung Galaxy, "手机的屏幕显示效果很好，色彩鲜艳，观影体验非常棒！",,
52,Huawei Mate, "手机的电池续航时间很长，一次充满电可以使用一整天，非常满意。",,
53,Xiaomi Redmi, "这款手机的外观设计很简约时尚，手感也很舒适，非常喜欢！",,
54,OnePlus, "手机的系统反应速度非常快，打开应用几乎没有延迟，非常满意！",,
55,Google Pixel, "手机的相机拍照效果非常出众，色彩还原度很高，每张照片都很美！",,
56,OPPO Reno, "手机的音质表现很棒，听音乐声音清晰、音质纯正，非常喜欢！",,
57,Vivo X series, "手机的存储空间够大，可以装下很多应用和文件，非常满意！",,
58,Motorola Moto, "手机的信号接收稳定，即使在信号较差的地方也不会掉线，非常可靠。",,
59,Sony Xperia, "手机的屏幕显示效果很好，色彩鲜艳，观看视频很享受！",,
60,Apple iPhone, "这款手机的外观设计非常精美，工艺做工也很精细，非常喜欢！",,
61,Samsung Galaxy, "手机的电池续航时间不够长，一天下来需要频繁充电，有点麻烦。",,
62,Huawei Mate, "手机的性能很强大，运行各种应用都很流畅，非常满意！",,
63,Xiaomi Redmi, "手机的运行速度较慢，打开应用有点卡顿，不太满意。",,
64,OnePlus, "手机的屏幕显示效果不错，色彩还原度较高，观影效果还可以。",,
65,Google Pixel, "手机的相机拍照效果一般，有时候色彩过饱和，拍出来的照片不太满意。",,
66,OPPO Reno, "手机的音质还可以，但有时候声音会有点小，希望能更大声一些。",,
67,Vivo X series, "手机的存储空间不够大，装了几个应用就没空间了，有点不方便。",,
68,Motorola Moto, "手机的信号接收较差，有时候会出现掉线的情况，不太可靠。",,
69,Sony Xperia, "手机的屏幕太小了，看视频不够爽，希望能有更大尺寸的选择。",,
70,Apple iPhone, "这款手机拍照效果真的很棒，每次拍出来的照片都很清晰，非常满意。",,
71,Samsung Galaxy, "手机的电池续航时间太短了，一天下来就没电了，非常失望。",,
72,Huawei Mate, "这款手机的外观设计非常漂亮，手感也很好，非常喜欢！",,
73,Xiaomi Redmi, "手机的运行速度非常快，打开应用都是秒开，非常满意！",,
74,OnePlus, "手机的屏幕显示效果很差，颜色偏暗，不太满意。",,
75,Google Pixel, "这款手机的相机拍照效果非常出色，每张照片都很漂亮，非常喜欢！",,
76,OPPO Reno, "手机的音质非常好，听音乐效果很棒，非常满意！",,
77,Vivo X series, "手机的存储空间太小了，只能装几个应用就没空间了，希望有更大容量的选择。",,
78,Motorola Moto, "手机的信号接收非常稳定，无论在室内还是室外都不会掉线，非常可靠。",,
79,Sony Xperia, "手机的屏幕太小了，看视频有点不方便，希望能有更大尺寸的选择。",,
80,Apple iPhone, "这款手机的性能非常强大，运行各种应用都非常流畅，非常满意！",,
81,Samsung Galaxy, "手机的屏幕显示效果很好，色彩鲜艳，观影体验非常棒！",,
82,Huawei Mate, "手机的电池续航时间很长，一次充满电可以使用一整天，非常满意。",,
83,Xiaomi Redmi, "这款手机的外观设计很简约时尚，手感也很舒适，非常喜欢！",,
84,OnePlus, "手机的系统反应速度非常快，打开应用几乎没有延迟，非常满意！",,
85,Google Pixel, "手机的相机拍照效果非常出众，色彩还原度很高，每张照片都很美！",,
86,OPPO Reno, "手机的音质表现很棒，听音乐声音清晰、音质纯正，非常喜欢！",,
87,Vivo X series, "手机的存储空间够大，可以装下很多应用和文件，非常满意！",,
88,Motorola Moto, "手机的信号接收稳定，即使在信号较差的地方也不会掉线，非常可靠。",,
89,Sony Xperia, "手机的屏幕显示效果很好，色彩鲜艳，观看视频很享受！",,
90,Apple iPhone, "这款手机的外观设计非常精美，工艺做工也很精细，非常喜欢！",,
91,Samsung Galaxy, "手机的电池续航时间不够长，一天下来需要频繁充电，有点麻烦。",,
92,Huawei Mate, "手机的性能很强大，运行各种应用都很流畅，非常满意！",,
93,Xiaomi Redmi, "手机的运行速度较慢，打开应用有点卡顿，不太满意。",,
94,OnePlus, "手机的屏幕显示效果不错，色彩还原度较高，观影效果还可以。",,
95,Google Pixel, "手机的相机拍照效果一般，有时候色彩过饱和，拍出来的照片不太满意。",,
96,OPPO Reno, "手机的音质还可以，但有时候声音会有点小，希望能更大声一些。",,
97,Vivo X series, "手机的存储空间不够大，装了几个应用就没空间了，有点不方便。",,
98,Motorola Moto, "手机的信号接收较差，有时候会出现掉线的情况，不太可靠。",,
99,Sony Xperia, "手机的屏幕太小了，看视频不够爽，希望能有更大尺寸的选择。",,
100,Apple iPhone, "这款手机拍照效果真的很棒，每次拍出来的照片都很清晰，非常满意。",,
101,Samsung Galaxy, "手机的电池续航时间太短了，一天下来就没电了，非常失望。",,
102,Huawei Mate, "这款手机的外观设计非常漂亮，手感也很好，非常喜欢！",,
103,Xiaomi Redmi, "手机的运行速度非常快，打开应用都是秒开，非常满意！",,
104,OnePlus, "手机的屏幕显示效果很差，颜色偏暗，不太满意。",,
105,Google Pixel, "这款手机的相机拍照效果非常出色，每张照片都很漂亮，非常喜欢！",,
106,OPPO Reno, "手机的音质非常好，听音乐效果很棒，非常满意！",,
107,Vivo X series, "手机的存储空间太小了，只能装几个应用就没空间了，希望有更大容量的选择。",,
108,Motorola Moto, "手机的信号接收非常稳定，无论在室内还是室外都不会掉线，非常可靠。",,
